"word","freq"
"sacrificado",4
"seguido",4
"tenencia",4
"escuela",4
"deterioro",3
"adecuación",3
"atender",3
"caminos",3
"cobre",3
"cualquier",3
"opciones",3
"pasan",3
"piso",3
"profesor",3
"puesto",3
"quieren",3
"reparación",3
"residuos",3
"vigilancia",3
"zona",3
"carga",3
"podría",3
"edificaciones",3
"comida",3
"hora",3
"mater",3
"nadie",3
"solución",3
"vicerrector",3
"importantes",3
"afecta",3
"ciudadanos",3
"labores",3
"equipo",3
"ingenieria",3
"notas",3
"dolly",3
"hicieron",3
"ing",3
"manejan",3
"comentario",3
"daño",3
"uriel",3
"mejoras",3
"restauración",3
"entiendo",3
"millones",3
"acoso",3
"existentes",3
"digital",3
"recientemente",3
"sector",3
"condición",3
"favor",3
"presenta",3
"responder",3
"solicitudes",3
"veo",3
"aumentar",3
"horarios",3
"trabaja",3
"adecuada",3
"ocasiones",3
"público",3
"contar",3
"justo",3
"máximo",3
"permita",3
"tiempos",3
"vulnerable",3
"defecto",3
"ambiental",3
"carta",3
"mejoramiento",3
"dará",3
"aspectos",3
"promoción",3
"académicos",3
"actores",3
"beneficios",3
"superior",3
"posibilitar",3
"considerando",3
"sendero",3
"empleo",3
"familias",3
"plantea",3
"problemática",3
"dudas",3
"tampoco",3
"maneras",3
"subsidios",3
"transporte",3
"pronto",3
"cobrar",3
"intereses",3
"ninguna",3
"prestamo",3
"considero",3
"esfuerzos",3
"mejora",3
"áreas",3
"aplica",3
"generan",3
"inversiones",3
"cobro",3
"refiero",3
"requieren",3
"web",3
"usar",3
"cargos",3
"gasta",3
"modo",3
"públicos",3
"saliente",3
"antiguos",3
"califican",3
"equivalencias",3
"modelo",3
"numéricos",3
"rangos",3
"realizará",3
"cambiado",3
"caer",3
"evita",3
"profesional",3
"profesionales",3
"socioeconómica",3
"adecuaciones",3
"auditorio",3
"cronograma",3
"comunicación",3
"necesaria",3
"saberpro",3
"diploma",3
"valor",3
"pudo",3
"dineros",3
"consulta",3
"esperando",3
"donaciones",3
"hizo",3
"medida",3
"contenido",3
"desarrollando",3
"estaciones",3
"género",3
"espero",3
"posibilidades",3
"viviendo",3
"sucedido",3
"retroalimentación",3
"seleccionar",3
"similares",3
"frontera",3
"electrónico",3
"feliz",3
"vienen",3
"ciencia",3
"circunstancias",3
"ciudad",3
"escenarios",3
"mental",3
"academico",3
"alta",3
"redes",3
"venido",3
"pagina",3
"afectados",3
"felicitaciones",3
"pendiente",3
"pienso",3
"salida",3
