Medio	Pregunta
Página	Ha aumentado en aporte de recursos que da el estado a las universidades públicas, en nuestro caso a la Universidad Nacional?
Página	Cuando presenta la renuncia el director de TI de la Universidad o en su defecto el director de la otic por la inoperancia del sia
Página	Porqué en la UN se construyen edificios? Se sabe la ocupación de cada aula de la Universidad, cada hora del día y cada día de la semana?
Página	La construcción de edificios en la UN responde a algún PLAN DE gestión ambiental?
Página	¿Pasado el 30 dr Abril puedo cancelar materias con el formato o carta de cancelacion?
Página	"Se supone que todos los cambios están soportados sobre la idea de mejoramiento; o al menos esa es la lógica. Mi pregunta es ¿Cuáles son los mejoramientos que soportaron el cambio de la plataforma SIA, cuánto costaron y si el costo/beneficio es significativo? Me gustaría que me respondieran esta pregunta con datos concretos y no con preguntas campeadoras burocráticas... Muchísimas gracias,"
Página	Cuando habilitarán la biblioteca? Nos urge un lugar donde estudiar tranquilamente. Y si tiene tableros en donde practicar ecuaciones, mucho mejor, gracias.
Página	Buenas tardes, Repetidas veces he solicitado información acerca de cual es la estrategia para subsanar la eliminación del Programa Lea en la UN y COMFIE. Aprovecho este espacio para volver a solicitar información detallada sobre el plan de acción de la Universidad para reemplazar los programas.
Página	Buenos días, Me gustaría saber la razón por la que la Universidad les dará un incentivo a los trabajadores de 400 mil pesos anuales y la razón del por qué los representantes en la mesa exigen que sea solo para los trabajadores sindicalizados. Ese dinero adicional, con la crisis de la Universidad no podrìa destinarse a proyectos de mayor urgencia¿?.
Página	Me gustaría saber cuál es el riesgo de que las antenas de celular instaladas a lo largo de la Universidad, especialmente, la que queda en frente del LIQ de funcionar como pararayos. Y conocer el motivo por el que se contrato ese diseño poco atractivo.
Página	¿Se pueden organizar torneos en la universidad?
Página	Creo que lo fundamental en la rendicióin de cuentas está en los indicadores desde el progama y su cumplimiento y cobertura. Ello no siempre es tan claro. Suele verse como la promoción de aspectos que cosideran apropiados para campaña. No a la disminución o desaparición de problemáticas.
Página	¿Cuando será el proceso de rendición de cuentas de la sede La Paz?
Página	Mi inquietud es con respecto a como el sia se convirtió en una plataforma omnipresente que tiene más incidencia sobre los procesos académicos que los mismos actores de ellos. Es decir, será posible que algún día, deje de ser un espacio constrictivo para convertirse en una plataforma que respeta los procesos académicos.
Página	¿Qué beneficios obtienen las entidades al realizar sus procesos de rendición de cuentas con enfoque basado en educación superior?
Página	Tiene la dirección de la Universidad, la voluntad real de apoyar la construcción del nuevo edificio para las Artes, y posibilitar que el trabajo de los estudiantes y docentes se lleve a cabo en condiciones dignas?
Página	¿Cuántos profesores ocasionales hubo en la sede medellín en el año 2019? ¿Cuántas horas de clase dictaron esos profesores?
Página	¿Pasa algo grave si pierdo una nivelatoria como lecto-escritura o matematicas basicas?
Página	Reciban un cordial saludo, quisiera saber que estrategias se están considerando para aumentar la planta docente, en la facultad de artes, ya que en Diseño Industrial tenemos aprox. 30 docentes por 500 estudiantes, mas algunos ocasionales o becarios que son menos de diez, y tenemos un grave problema de relevo generacional y materias que no han sido ofertadas a causa de la falta de docentes.
Página	Porque no han arreglado el sendero peatonal entre Química - Farmacia - Plaza Central ?
Página	La plazoleta de la esfera estaba en buenas condiciones antes de ser intervenida. En cambio el sendero peatonal entre Química - Farmacia - Plaza Central está en condiciones muy regulares, ¿porqué no le hacen mantenimiento? Gracias
Página	"¿La universidad que le plantea a los estudiantes de posgrado? Muchos estudiante de posgrado trabajan para pagar su semestre, ante la actual problemática internacional y nacional de salud varios perdieron su empleo y no tienen ingresos económicos y lo poco que tienen ahorrado es para poder sobrevivir en estos días, obligar pagar el recibo de matricula seria similar a arrebatar el pan de la boca de sus familias para dárselo a la universidad. También está presente la problemática del confinamiento y la inequitativa ""virtualización"", es absolutamente necesario ampliar el calendario académico hasta que se vea superada esta problemática. Si la universidad no plantea soluciones concretas lo único que tendrá es una pirrica minoría que pague y termine su semestre y una inmensa mayoría que cancelará su semestre e incluso su programa posgradual."
Página	Tengo dudas sobre los cupos y materias soy estudiante de pregrado en primer semestre y no tengo ni idea de si debo inscribir algo o que materias o cursos son los que hay, ni tampoco si puedo hacerlo en cualquier momento, no se si pueda agregar algo a mi horario o donde inscribirme a los grupos de investigación o deportes
Página	Buenas noches. Me gustaría preguntar cómo será el exámen del periodo 2020-2
Página	buen día para realizar una pregunta acerca de la inversión en las plataformas digitales y servicios como el SIA y la DNINFOA, me gustaría saber cual fue la inversión anual
Página	La universidad pública debe ser un espacio más amplio, en razón de que más personas puedan ingresar a ella. La universidad debe de buscar maneras para la ampliación de cupos y de subsidios, ya sea de transporte o alimenticios, para su población más vulnerable económicamente. Los estudiantes beneficiados con estos subsidios deben de devolver la ayuda prestada.
Página	Demora en la entrega de la primera fase de la Universidad Nacional de Colombia, Sede de Presencia Nacional Tumaco Pacífico Solicitamos y necesitamos una supervisión más activa en la construcción de la nueva sede de Presencia Nacional Tumaco Pacífico. Es entendible que las obras presenten problemas de diferente índole, que posterioermente se verán reflejados en la fecha de entrega de estas mismas, pero la primera fase de la sede ya se debería haber entregado hace mucho tiempo, sin embargo, parece que esto no ocurrira pronto.
Página	Yo quiero preguntar que se esta haciendo para evitar que mas estudiantes de nuestra universidad nacional se sigan endeudando con la entidad ICETEX, y expongo mi caso yo solicite el prestamo para estudiar mi Maestria de Ingenieria Mecanica, 4 semestres, un prestamo de $18.000.000 y ya le hepagado a ICETEX, $ 10.000.000 pero en mi cuenta solo se ve reflejado la disminucion de $3.500.000 y me dicen descaradamente que el resto del dinero son solo intereses, y que dia a dia se pagan solo intereses a esta entidad, como es posible que cobre el 20% de interes mensual pra prestamo de educion, ni un banco normal cobra esto solo cobre el 1% de interes mensual, ICETEX destruye los sueños de los estudinates, y la Universidad Nacional no deberia promover este daño que se le hace el aestudiante apoyando una entidad como ICETEX, que no es controlada por ninguna istitucion del estado, es libre de cobrar hasta 3 intereses mensuales, y nadie dice nada, me parece injusto. Me gustaria saber como controlan estas instituciones dentro de la Universidad para que o sigan robando los sueños de los estudiantes, endeudandolos.?
Página	Buen día! es una recomendación para la Universidad. Personalmente soy una persona que toma muchísima agua y en la universidad solamente hay dos dispensadores de agua potable en la facultad de ciencias económicas. Considero que es importante brindarle a la comunidad estudiantil este tipo de elementos, pues la mayoría de nosotoros pasamos más de 8 horas al día en la institución y es muy incómodo no tener un acceso fácil a algo tan vital como lo es el agua potable. Gracias!
Página	En general, ¿los productos de la tienda UNAL tienen un carácter distintivo, o son corrientes?
Página	Me parece que la rendición de cuentas debe ser transmitida por los jefes a sus subalternos, en todas las áreas de la universidad. Creo que también colocar desde cada área esfuerzos de mejora, cada semestre proponer acciones de mejora, cada semestre mejor que el anterior.
